"";"typ";"label";"conc"
"63";"SFG";"sun flower seed(gr)";17,2810478
"64";"EHH";"grass silage";8,9899998
"65";"EHH";"grass silage";26,5
"66";"FFS";"full fat soya";40,6651039
"67";"EHH";"grass silage";16,9299984
"68";"PEE";"maïs wp";6,4699998
"69";"CNG";"corn gluten";62,4107399
"70";"MPW";"milk powder & whey";26,1164894
"71";"FFS";"full fat soya";40,479023
"72";"PEE";"maïs wp";6,8000002
"73";"EHH";"grass silage";16,9099998
"74";"MPW";"milk powder & whey";37,7736816
"75";"EHH";"grass silage";20,2199993
"76";"CNG";"corn gluten";65,8328323
"77";"CLZ";"rapeseed(ung)";23,1700001
"78";"MPW";"milk powder & whey";39,1379013
"79";"CNG";"corn gluten";72,0691223
"80";"TTS";"soya meal";51,0273972
"81";"SFG";"sun flower seed(gr)";15,7505827
"82";"EHH";"grass silage";17,5
"83";"PEE";"maïs wp";7,1100001
"84";"FRG";"wheat (ung)";12,6283998
"85";"SFG";"sun flower seed(gr)";15,310256
"86";"CLZ";"rapeseed(ung)";23,4668941
"87";"PEE";"maïs wp";8,8699999
"88";"ANF";"animal feed";53,7503815
"89";"TTS";"soya meal";51,4124298
"90";"MPW";"milk powder & whey";23,4980087
"91";"EHH";"grass silage";26,8199997
"92";"SFG";"sun flower seed(gr)";16,7885113
"93";"CNG";"corn gluten";69,8648605
"94";"EHH";"grass silage";8,2799997
"95";"SFG";"sun flower seed(gr)";13,3279333
"96";"CLZ";"rapeseed(ung)";20,9599991
"97";"SFG";"sun flower seed(gr)";13,684701
"98";"TTS";"soya meal";51,968502
"99";"TTS";"soya meal";54,8098412
"100";"FFS";"full fat soya";40,0101585
"101";"FRG";"wheat (ung)";12,2299995
"102";"EHH";"grass silage";10,2299995
"103";"SFG";"sun flower seed(gr)";12,8274841
"104";"PEE";"maïs wp";5,8399997
"105";"PEE";"maïs wp";9,9199991
"106";"ANF";"animal feed";54,2215805
"107";"CLZ";"rapeseed(ung)";19,2000008
"108";"CNG";"corn gluten";69,2089081
"109";"SFG";"sun flower seed(gr)";13,1281052
"110";"EHH";"grass silage";27,2999992
"111";"SFG";"sun flower seed(gr)";19,5599728
"112";"CNG";"corn gluten";62,4312859
"113";"PEE";"maïs wp";5,5799999
"114";"TTS";"soya meal";53,5550461
"115";"EHH";"grass silage";18,7270145
"116";"MPW";"milk powder & whey";14,1667233
"117";"MPW";"milk powder & whey";38,2739792
"118";"FFS";"full fat soya";38,6585236
"119";"CNG";"corn gluten";72,6082458
"120";"SFG";"sun flower seed(gr)";18,2340374
"121";"EHH";"grass silage";24,5499992
"122";"CNG";"corn gluten";67,1863098
"123";"FFS";"full fat soya";40,3714104
"124";"FFS";"full fat soya";38,475708
"125";"MPW";"milk powder & whey";38,170105
"126";"EHH";"grass silage";16
"127";"EHH";"grass silage";16,1000004
"128";"FFS";"full fat soya";41,6589012
"129";"MPW";"milk powder & whey";37,8566971
"130";"ANF";"animal feed";53,627636
"131";"PEE";"maïs wp";9,7099991
"132";"CLZ";"rapeseed(ung)";16,1700001
"133";"TTS";"soya meal";53,8121529
"134";"EHH";"grass silage";14,5500002
"135";"PEE";"maïs wp";5,6100001
"136";"FFS";"full fat soya";38,8586464
"137";"PEE";"maïs wp";7,1899996
"138";"MPW";"milk powder & whey";36,7429848
"139";"TTS";"soya meal";53,899086
"140";"FRG";"wheat (ung)";13,3999996
"141";"CLZ";"rapeseed(ung)";16,7099991
"142";"TTS";"soya meal";53,3183327
"143";"PEE";"maïs wp";6,5402226
"144";"FFS";"full fat soya";40,4230385
"145";"CLZ";"rapeseed(ung)";23,0599995
"146";"TTS";"soya meal";52,3321953
"147";"SFG";"sun flower seed(gr)";18,0687504
"148";"PEE";"maïs wp";8,9899998
"149";"ANF";"animal feed";50,1577415
"150";"TTS";"soya meal";54,503994
"151";"CNG";"corn gluten";73,3731461
"152";"MPW";"milk powder & whey";11,7774782
"153";"ANF";"animal feed";58,2128067
"154";"MPW";"milk powder & whey";22,9628448
"155";"FRG";"wheat (ung)";17,0200005
"156";"PEE";"maïs wp";7,3400002
"157";"MPW";"milk powder & whey";40,0379868
"158";"CLZ";"rapeseed(ung)";18,7000008
"159";"SFG";"sun flower seed(gr)";15,4861231
"160";"ANF";"animal feed";55,2551498
"161";"SFG";"sun flower seed(gr)";11,1557026
"162";"CNG";"corn gluten";71,8936234
"163";"CNG";"corn gluten";71,123085
"164";"CLZ";"rapeseed(ung)";22,3400002
"165";"SFG";"sun flower seed(gr)";16,6233234
"166";"EHH";"grass silage";20,2700005
"167";"EHH";"grass silage";15,2795563
"168";"FRG";"wheat (ung)";9,29
"169";"PEE";"maïs wp";9,6799994
"170";"FRG";"wheat (ung)";11,717
"171";"FFS";"full fat soya";40,5628967
"172";"SFG";"sun flower seed(gr)";17,533577
"173";"CLZ";"rapeseed(ung)";19,6800003
"174";"FFS";"full fat soya";42,3100929
"175";"PEE";"maïs wp";8,4799995
"176";"ANF";"animal feed";51,1583862
"177";"FRG";"wheat (ung)";12,5
"178";"CLZ";"rapeseed(ung)";14,1000004
"179";"PEE";"maïs wp";7,5599999
"180";"FRG";"wheat (ung)";11,8999996
"181";"FFS";"full fat soya";40,0244942
"182";"EHH";"grass silage";10,5900002
"183";"TTS";"soya meal";52,6497688
"184";"ANF";"animal feed";56,668602
"185";"ANF";"animal feed";48,2523499
"186";"TTS";"soya meal";53,9700813
"187";"TTS";"soya meal";54,6979866
"188";"SFG";"sun flower seed(gr)";15,1116514
"189";"ANF";"animal feed";52,0294914
"190";"CNG";"corn gluten";64,7752304
"191";"FRG";"wheat (ung)";12,5
"192";"ANF";"animal feed";48,6242332
"193";"SFG";"sun flower seed(gr)";16,1191902
"194";"TTS";"soya meal";54,9132957
"195";"FRG";"wheat (ung)";12,5299997
"196";"CLZ";"rapeseed(ung)";14,4399996
"197";"PEE";"maïs wp";8,0500002
"198";"CLZ";"rapeseed(ung)";19,7099991
"199";"FRG";"wheat (ung)";10,8800001
"200";"CLZ";"rapeseed(ung)";23,8899994
"201";"EHH";"grass silage";25,7000008
"202";"EHH";"grass silage";19,0300007
"203";"EHH";"grass silage";12,8199997
"204";"FRG";"wheat (ung)";12,3999996
"205";"ANF";"animal feed";52,1385193
"206";"TTS";"soya meal";55,3652992
"207";"MPW";"milk powder & whey";38,4511871
"208";"EHH";"grass silage";11,2799997
"209";"PEE";"maïs wp";6,7199998
"210";"ANF";"animal feed";57,4571457
"211";"FRG";"wheat (ung)";15,5
"212";"CLZ";"rapeseed(ung)";20,9599991
"213";"CLZ";"rapeseed(ung)";14,81248
"214";"MPW";"milk powder & whey";26,441431
"215";"FFS";"full fat soya";40,1445618
"216";"CNG";"corn gluten";66,4440918
"217";"CLZ";"rapeseed(ung)";20,8299999
"218";"EHH";"grass silage";14,4799995
"219";"MPW";"milk powder & whey";38,4628716
"220";"PEE";"maïs wp";4,9299998
"221";"FRG";"wheat (ung)";11,8599997
"222";"EHH";"grass silage";20,1679993
"223";"CNG";"corn gluten";68,1438904
"224";"TTS";"soya meal";52,5842705
"225";"EHH";"grass silage";17,8299999
"226";"ANF";"animal feed";52,899437
"227";"CLZ";"rapeseed(ung)";23,75
"228";"FFS";"full fat soya";39,5535202
"229";"PEE";"maïs wp";7,1799998
"230";"TTS";"soya meal";53,8895187
"231";"CLZ";"rapeseed(ung)";17,5
"232";"TTS";"soya meal";54,6605301
"233";"SFG";"sun flower seed(gr)";16,4276505
"234";"EHH";"grass silage";15,7200003
"235";"CLZ";"rapeseed(ung)";17,7399998
"236";"TTS";"soya meal";54,4647484
"237";"SFG";"sun flower seed(gr)";22,02812
"238";"SFG";"sun flower seed(gr)";23,427084
"239";"SFG";"sun flower seed(gr)";14,6648712
"240";"MPW";"milk powder & whey";36,8680573
"241";"MPW";"milk powder & whey";12,2687483
"242";"MPW";"milk powder & whey";12,6549473
"243";"PEE";"maïs wp";6,7600002
"244";"CNG";"corn gluten";70,6842117
"246";"FFS";"full fat soya";40,3594627
"247";"EHH";"grass silage";21,9199982
"248";"SFG";"sun flower seed(gr)";20,103878
"249";"TTS";"soya meal";53,1214523
"250";"CLZ";"rapeseed(ung)";20,6599998
"251";"FRG";"wheat (ung)";12,7700005
"252";"FRG";"wheat (ung)";11,5900002
"253";"ANF";"animal feed";52,4209557
"254";"FRG";"wheat (ung)";11,1499996
"255";"MPW";"milk powder & whey";22,456255
"256";"FFS";"full fat soya";39,1315842
"257";"CNG";"corn gluten";67,7804489
"258";"PEE";"maïs wp";7,7199998
"259";"SFG";"sun flower seed(gr)";16,9214191
"260";"FRG";"wheat (ung)";11,5
"261";"MPW";"milk powder & whey";11,4531546
"262";"MPW";"milk powder & whey";13,146204
"263";"TTS";"soya meal";50,960453
"264";"SFG";"sun flower seed(gr)";16,5107613
"265";"FRG";"wheat (ung)";13,6000004
"266";"EHH";"grass silage";18,2000008
"267";"FRG";"wheat (ung)";11,2799997
"268";"PEE";"maïs wp";8,8000002
"269";"CLZ";"rapeseed(ung)";20,5799999
"270";"TTS";"soya meal";52,8064117
"271";"PEE";"maïs wp";7,9199996
"272";"ANF";"animal feed";56,3374138
"273";"FFS";"full fat soya";42,2221832
"274";"ANF";"animal feed";54,0910263
"275";"PEE";"maïs wp";5,1599998
"276";"EHH";"grass silage";20,8099995
"277";"MPW";"milk powder & whey";6,0490475
"278";"MPW";"milk powder & whey";5,4126296
"279";"FFS";"full fat soya";41,9462967
"280";"TTS";"soya meal";53,3333321
"281";"CLZ";"rapeseed(ung)";22,3799992
"282";"MPW";"milk powder & whey";22,1040707
"283";"CNG";"corn gluten";69,8458786
"284";"SFG";"sun flower seed(gr)";13,5264606
"285";"CLZ";"rapeseed(ung)";22,2099991
"286";"SFG";"sun flower seed(gr)";14,4286785
"287";"SFG";"sun flower seed(gr)";12,6776142
"288";"EHH";"grass silage";15,1000004
"289";"MPW";"milk powder & whey";27,7998943
"290";"CLZ";"rapeseed(ung)";20,9099998
"291";"MPW";"milk powder & whey";39,2821236
"292";"SFG";"sun flower seed(gr)";16,0929108
"293";"PEE";"maïs wp";7,27
"294";"FRG";"wheat (ung)";11,7600002
"295";"TTS";"soya meal";56,0414276
"296";"TTS";"soya meal";55,8926506
"297";"TTS";"soya meal";49,6045189
"298";"CNG";"corn gluten";76,603981
"299";"FRG";"wheat (ung)";15,96
"300";"TTS";"soya meal";50,1474495
"301";"FRG";"wheat (ung)";10,3999996
"302";"EHH";"grass silage";11,9799995
"303";"ANF";"animal feed";53,9289436
"304";"FFS";"full fat soya";41,8060684
"305";"SFG";"sun flower seed(gr)";20,289381
"306";"MPW";"milk powder & whey";11,7771349
"307";"TTS";"soya meal";50,3370781
"308";"EHH";"grass silage";27,4599991
"309";"SFG";"sun flower seed(gr)";20,9371834
"310";"TTS";"soya meal";52,1934738
"311";"ANF";"animal feed";51,0756073
"312";"FRG";"wheat (ung)";12,6300001
"313";"EHH";"grass silage";14,7399998
"314";"TTS";"soya meal";54,5050049
"315";"FFS";"full fat soya";40,3092613
"316";"PEE";"maïs wp";6,9000001
"317";"CNG";"corn gluten";72,1489258
"318";"FFS";"full fat soya";40,6557655
"319";"TTS";"soya meal";51,0204086
"320";"SFG";"sun flower seed(gr)";15,1913176
"321";"ANF";"animal feed";50,0882912
"322";"SFG";"sun flower seed(gr)";13,0227327
"323";"ANF";"animal feed";52,043045
"324";"ANF";"animal feed";52,7342949
"325";"CNG";"corn gluten";71,0346985
"326";"MPW";"milk powder & whey";30,6820049
"327";"SFG";"sun flower seed(gr)";22,5649738
"328";"CLZ";"rapeseed(ung)";15,75
"329";"TTS";"soya meal";53,0821915
"330";"MPW";"milk powder & whey";36,5179329
"331";"EHH";"grass silage";21,7000008
"332";"FRG";"wheat (ung)";12,9300003
"333";"SFG";"sun flower seed(gr)";12,99722
"334";"TTS";"soya meal";53,0963326
"335";"MPW";"milk powder & whey";11,6658192
"336";"MPW";"milk powder & whey";7,0147648
"337";"EHH";"grass silage";28,3999996
"338";"FRG";"wheat (ung)";12,2299995
"339";"PEE";"maïs wp";8,4199991
"340";"PEE";"maïs wp";7,3000002
"341";"CLZ";"rapeseed(ung)";15,6199999
"342";"ANF";"animal feed";50,7958641
"343";"CNG";"corn gluten";66,1050186
"344";"MPW";"milk powder & whey";11,496376
"345";"EHH";"grass silage";19,5599995
"346";"FRG";"wheat (ung)";13,3999996
"347";"ANF";"animal feed";48,9421349
"348";"SFG";"sun flower seed(gr)";13,0927057
"349";"CNG";"corn gluten";69,5816727
"350";"CNG";"corn gluten";67,2694702
"351";"CNG";"corn gluten";71,762558
"352";"TTS";"soya meal";50,4009132
"353";"ANF";"animal feed";55,5578156
"354";"CLZ";"rapeseed(ung)";22,2399998
"355";"SFG";"sun flower seed(gr)";16,160181
"356";"CNG";"corn gluten";70,7805939
"357";"CLZ";"rapeseed(ung)";22,2553997
"358";"SFG";"sun flower seed(gr)";14,6144476
"359";"EHH";"grass silage";17,5
"360";"SFG";"sun flower seed(gr)";19,931303
"361";"CLZ";"rapeseed(ung)";27,2999992
"362";"FRG";"wheat (ung)";11,0900002
"363";"SFG";"sun flower seed(gr)";20,683569
"364";"CNG";"corn gluten";64,5336533
"365";"FFS";"full fat soya";39,740509
"366";"CNG";"corn gluten";59,9337082
"367";"EHH";"grass silage";8,8900003
"368";"TTS";"soya meal";53,1843567
"369";"SFG";"sun flower seed(gr)";15,1713572
"370";"FRG";"wheat (ung)";12,6000004
"371";"EHH";"grass silage";11,46
"372";"EHH";"grass silage";14,8100004
"373";"EHH";"grass silage";10,8199997
"374";"EHH";"grass silage";7,73
"375";"EHH";"grass silage";17,5900002
"376";"MPW";"milk powder & whey";37,1470604
"377";"TTS";"soya meal";55,0499458
"378";"CLZ";"rapeseed(ung)";20,1499996
"379";"FFS";"full fat soya";40,7443581
"380";"MPW";"milk powder & whey";27,9054089
"381";"CLZ";"rapeseed(ung)";19,2199993
"382";"CNG";"corn gluten";68,4667969
"383";"MPW";"milk powder & whey";10,9728432
"384";"CLZ";"rapeseed(ung)";17,0599995
"385";"SFG";"sun flower seed(gr)";18,3719425
"386";"ANF";"animal feed";46,627636
"387";"SFG";"sun flower seed(gr)";19,2767353
"388";"MPW";"milk powder & whey";12,5528431
"389";"CLZ";"rapeseed(ung)";25,2460003
"390";"CNG";"corn gluten";66,6188278
"391";"CLZ";"rapeseed(ung)";16,9772053
"392";"CNG";"corn gluten";68,8681335
"393";"FRG";"wheat (ung)";11,6000004
"394";"FRG";"wheat (ung)";11,9049997
"395";"MPW";"milk powder & whey";13,1788101
"396";"ANF";"animal feed";46,3538857
"397";"FFS";"full fat soya";38,9453697
"398";"SFG";"sun flower seed(gr)";17,982151
"399";"MPW";"milk powder & whey";21,9185352
"400";"SFG";"sun flower seed(gr)";11,9454193
"401";"CLZ";"rapeseed(ung)";21,2000008
"402";"CNG";"corn gluten";72,3178711
"403";"FFS";"full fat soya";40,2407455
"404";"ANF";"animal feed";51,3698387
"405";"TTS";"soya meal";50,5580368
"406";"TTS";"soya meal";51,4908257
"407";"TTS";"soya meal";51,9640846
"408";"ANF";"animal feed";53,0169945
"409";"TTS";"soya meal";55,056179
"410";"FRG";"wheat (ung)";12,8100004
"411";"MPW";"milk powder & whey";24,6180191
"412";"EHH";"grass silage";13,04
"413";"FFS";"full fat soya";39,749176
"414";"SFG";"sun flower seed(gr)";14,2733688
"415";"MPW";"milk powder & whey";5,4642477
"416";"EHH";"grass silage";10,3199997
"417";"FRG";"wheat (ung)";12,0699997
"418";"EHH";"grass silage";11,4099998
"419";"ANF";"animal feed";48,550106
"420";"FFS";"full fat soya";40,6221657
"421";"PEE";"maïs wp";6,5900002
"422";"PEE";"maïs wp";7,7399998
"423";"CNG";"corn gluten";69,6612854
"424";"TTS";"soya meal";52,4027443
"425";"CNG";"corn gluten";74,7222672
"426";"TTS";"soya meal";52,9209595
"427";"FRG";"wheat (ung)";12,0066671
"428";"CNG";"corn gluten";68,4970169
"429";"TTS";"soya meal";53,9071312
"430";"ANF";"animal feed";52,7840424
"431";"TTS";"soya meal";53,8121529
"432";"PEE";"maïs wp";7,6100001
"433";"TTS";"soya meal";56,3428574
"434";"ANF";"animal feed";57,2430725
"435";"PEE";"maïs wp";8,0100002
"436";"MPW";"milk powder & whey";38,5752106
"437";"FRG";"wheat (ung)";12,6000004
"438";"PEE";"maïs wp";5,2399998
"439";"FRG";"wheat (ung)";12,1750002
"440";"PEE";"maïs wp";6,3400002
"441";"SFG";"sun flower seed(gr)";11,0858812
"442";"EHH";"grass silage";25,0599995
"443";"CLZ";"rapeseed(ung)";20,1800003
"444";"CNG";"corn gluten";64,790657
"445";"FFS";"full fat soya";41,6196632
"446";"SFG";"sun flower seed(gr)";17,6062698
"447";"FFS";"full fat soya";42,0426712
"448";"ANF";"animal feed";53,3548546
"449";"FFS";"full fat soya";44,0557365
"450";"MPW";"milk powder & whey";11,8753757
"451";"SFG";"sun flower seed(gr)";15,273551
"452";"FFS";"full fat soya";40,343956
"453";"PEE";"maïs wp";6,4199996
"454";"SFG";"sun flower seed(gr)";17,9894943
"455";"EHH";"grass silage";14,9399996
"456";"CLZ";"rapeseed(ung)";28,1499996
"457";"EHH";"grass silage";18,9200001
"458";"ANF";"animal feed";53,3266907
"459";"EHH";"grass silage";19,5199986
"460";"MPW";"milk powder & whey";13,4520359
"461";"CLZ";"rapeseed(ung)";20,1399994
"462";"EHH";"grass silage";14,4699993
"463";"MPW";"milk powder & whey";26,0281792
"464";"FRG";"wheat (ung)";11,3800001
"465";"FRG";"wheat (ung)";11,1099997
"466";"EHH";"grass silage";11,3599997
"467";"CNG";"corn gluten";65,932457
"468";"ANF";"animal feed";51,3801003
"469";"MPW";"milk powder & whey";25,4054413
"470";"SFG";"sun flower seed(gr)";14,8962641
"471";"TTS";"soya meal";51,4840202
"472";"FFS";"full fat soya";43,1171036
"473";"MPW";"milk powder & whey";27,4020748
"474";"MPW";"milk powder & whey";38,6894226
"475";"PEE";"maïs wp";9,3999996
"476";"CNG";"corn gluten";64,6411362
"477";"ANF";"animal feed";56,8746758
"478";"MPW";"milk powder & whey";5,3464599
"479";"MPW";"milk powder & whey";10,8003235
"480";"SFG";"sun flower seed(gr)";14,025423
"481";"ANF";"animal feed";49,7316322
"482";"TTS";"soya meal";54,9199066
"483";"MPW";"milk powder & whey";38,7130318
"484";"SFG";"sun flower seed(gr)";21,6715984
"485";"SFG";"sun flower seed(gr)";19,4695206
"486";"MPW";"milk powder & whey";12,4551764
"487";"FFS";"full fat soya";40,0605965
"488";"TTS";"soya meal";48,0136223
"489";"MPW";"milk powder & whey";22,5860367
"490";"EHH";"grass silage";15,7799997
"491";"ANF";"animal feed";54,4800034
"492";"MPW";"milk powder & whey";7,1649027
"493";"SFG";"sun flower seed(gr)";16,5466671
"494";"FRG";"wheat (ung)";11,3999996
"495";"EHH";"grass silage";14,1300001
"496";"SFG";"sun flower seed(gr)";16,9521523
"497";"FFS";"full fat soya";45,6005974
"498";"MPW";"milk powder & whey";27,01408
"499";"SFG";"sun flower seed(gr)";21,4304962
"500";"PEE";"maïs wp";6,0300002
"501";"SFG";"sun flower seed(gr)";17,7986603
"502";"FRG";"wheat (ung)";9,6529999
"503";"CLZ";"rapeseed(ung)";21,9899998
"504";"MPW";"milk powder & whey";5,3411469
"505";"CNG";"corn gluten";69,9498215
"506";"PEE";"maïs wp";7,8599997
"508";"SFG";"sun flower seed(gr)";14,1178093
"509";"FFS";"full fat soya";41,8192139
"510";"SFG";"sun flower seed(gr)";16,4218502
"511";"FFS";"full fat soya";38,3453331
"512";"SFG";"sun flower seed(gr)";14,9142609
"513";"SFG";"sun flower seed(gr)";18,4717712
"514";"FFS";"full fat soya";46,9571648
"515";"PEE";"maïs wp";7,1300001
"516";"SFG";"sun flower seed(gr)";14,3105545
"517";"TTS";"soya meal";52,3917961
"518";"PEE";"maïs wp";5,8200002
"519";"PEE";"maïs wp";7,3599997
"520";"CLZ";"rapeseed(ung)";20,9149284
"521";"MPW";"milk powder & whey";12,7920294
"522";"CLZ";"rapeseed(ung)";25,6399994
"523";"MPW";"milk powder & whey";38,125
"524";"CNG";"corn gluten";66,5961151
"525";"EHH";"grass silage";17,9799995
"526";"CNG";"corn gluten";74,9751434
"527";"FFS";"full fat soya";39,876091
"528";"CLZ";"rapeseed(ung)";18,9500008
"529";"SFG";"sun flower seed(gr)";16,7595024
"530";"FRG";"wheat (ung)";10,7999992
"531";"FFS";"full fat soya";45,9093666
"532";"MPW";"milk powder & whey";13,8916931
"533";"EHH";"grass silage";14,3000002
"534";"FRG";"wheat (ung)";13,0699997
"535";"TTS";"soya meal";52,3917961
"536";"FFS";"full fat soya";43,7054367
"537";"CLZ";"rapeseed(ung)";21,3299999
"538";"PEE";"maïs wp";9,4200001
"539";"TTS";"soya meal";54,910717
"540";"EHH";"grass silage";16,4799995
"541";"EHH";"grass silage";12,7799997
"542";"FRG";"wheat (ung)";11,1899996
"543";"EHH";"grass silage";12,3500004
"544";"FRG";"wheat (ung)";12,6300001
"545";"FRG";"wheat (ung)";11,71
"546";"FRG";"wheat (ung)";12,8599997
"547";"FFS";"full fat soya";41,0887489
"548";"EHH";"grass silage";10,5
"549";"FFS";"full fat soya";41,5745087
"550";"CNG";"corn gluten";66,6169128
"551";"MPW";"milk powder & whey";39,5028877
"552";"EHH";"grass silage";12,3400002
"553";"PEE";"maïs wp";7,2600002
"554";"ANF";"animal feed";53,1381073
"555";"PEE";"maïs wp";7,2600002
"556";"FRG";"wheat (ung)";12,5699997
"557";"FFS";"full fat soya";40,073719
"558";"FRG";"wheat (ung)";11,4099998
"559";"FRG";"wheat (ung)";11,6499996
"560";"EHH";"grass silage";11,8699999
"562";"EHH";"grass silage";17,5799999
"563";"TTS";"soya meal";54,8974915
"564";"SFG";"sun flower seed(gr)";20,5461311
"565";"MPW";"milk powder & whey";33,2951775
"566";"FRG";"wheat (ung)";9,9399996
"567";"EHH";"grass silage";13,29
"568";"TTS";"soya meal";53,9700813
"569";"FFS";"full fat soya";40,7726059
"570";"ANF";"animal feed";49,7360458
"571";"SFG";"sun flower seed(gr)";16,9747105
"572";"CLZ";"rapeseed(ung)";19,9200001
"573";"CLZ";"rapeseed(ung)";22,3999996
"574";"ANF";"animal feed";53,8257942
"575";"ANF";"animal feed";56,2523232
"576";"FFS";"full fat soya";39,4136963
"577";"FRG";"wheat (ung)";11,5999994
"578";"FFS";"full fat soya";41,5658646
"579";"CNG";"corn gluten";65,6515961
"580";"FRG";"wheat (ung)";12,79
"581";"ANF";"animal feed";59,4088898
"582";"CLZ";"rapeseed(ung)";24,5021
"584";"CLZ";"rapeseed(ung)";21,7800007
"585";"CLZ";"rapeseed(ung)";16,4899998
"586";"CNG";"corn gluten";66,053894
"587";"TTS";"soya meal";53,8895187
"588";"SFG";"sun flower seed(gr)";17,9737644
"589";"CNG";"corn gluten";64,0164642
"590";"CNG";"corn gluten";67,116478
"591";"PEE";"maïs wp";10,3900003
"592";"CLZ";"rapeseed(ung)";22,4400005
"593";"MPW";"milk powder & whey";12,3762169
"594";"ANF";"animal feed";49,9328346
"595";"PEE";"maïs wp";8,2200003
"596";"PEE";"maïs wp";8,5600004
"597";"EHH";"grass silage";14,8800001
"598";"TTS";"soya meal";52,3321953
"599";"MPW";"milk powder & whey";10,1712389
"600";"CNG";"corn gluten";62,7882233
"601";"CLZ";"rapeseed(ung)";19,6000004
"602";"SFG";"sun flower seed(gr)";15,3534155
"603";"ANF";"animal feed";59,1429253
"604";"CLZ";"rapeseed(ung)";20,9500008
"605";"CNG";"corn gluten";67,0460968
"606";"CNG";"corn gluten";66,3294601
"608";"SFG";"sun flower seed(gr)";12,9549923
"610";"MPW";"milk powder & whey";11,5366812
"611";"FRG";"wheat (ung)";11,5
"612";"SFG";"sun flower seed(gr)";14,3400059
"613";"FRG";"wheat (ung)";11,8999996
"614";"CNG";"corn gluten";64,2354584
"615";"CNG";"corn gluten";74,1804352
"616";"ANF";"animal feed";55,2365646
"617";"CNG";"corn gluten";69,8161163
"618";"CLZ";"rapeseed(ung)";18,9200001
"619";"FRG";"wheat (ung)";11,9949999
"620";"CLZ";"rapeseed(ung)";19,6499996
"621";"FFS";"full fat soya";39,7515755
"622";"FRG";"wheat (ung)";10,2399998
"623";"CNG";"corn gluten";68,383316
"624";"FFS";"full fat soya";40,8975449
"625";"FFS";"full fat soya";39,268856
"626";"PEE";"maïs wp";7,3699999
"627";"MPW";"milk powder & whey";40,0251617
"628";"TTS";"soya meal";51,5050201
"629";"PEE";"maïs wp";6,8200002
"630";"FRG";"wheat (ung)";12,5
"631";"ANF";"animal feed";54,097271
"632";"SFG";"sun flower seed(gr)";12,3150187
"633";"FRG";"wheat (ung)";11,1999998
"634";"ANF";"animal feed";50,7119675
"635";"CNG";"corn gluten";65,6708145
"636";"ANF";"animal feed";52,6118355
"637";"MPW";"milk powder & whey";24,0163937
"638";"FFS";"full fat soya";43,1500168
"639";"FFS";"full fat soya";42,9504662
